0	Flash photography is best used in full sunlight.
2	I am counting my calories, yet I really want dessert.
4	I love eating toasted cheese and tuna sandwiches.
6	It's not often you find a soggy banana on the street.
8	If my calculator had a history, it would be more embarrassing than my browser history.
10	It took him a while to realize that everything he decided not to change, he was actually choosing.
12	There was no ice cream in the freezer, nor did they have money to go to the store.
14	The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
15	The hand sanitizer was actually clear glue.
16	He was the only member of the club who didn't like plum pudding.
17	His son quipped that power bars were nothing more than adult candy bars.
18	David proudly graduated from high school top of his class at age 97.
19	The balloons floated away along with all my hopes and dreams.
21	The efficiency with which he paired the socks in the drawer was quite admirable.
22	When motorists sped in and out of traffic, all she could think of was those in need of a transplant.
23	The beauty of the African sunset disguised the danger lurking nearby.
25	The urgent care center was flooded with patients after the news of a new deadly virus was made public.
26	I often see the time 11:11 or 12:34 on clocks.
27	Nancy decided to make the porta-potty her home.
30	Plans for this weekend include turning wine into water.
31	She discovered van life is difficult with 2 cats and a dog.
33	He embraced his new life as an eggplant.
35	He had accidentally hacked into his company's server.
36	With a single flip of the coin, his life changed forever.
37	Always bring cinnamon buns on a deep-sea diving expedition.
41	No matter how beautiful the sunset, it saddened her knowing she was one day older.
43	She had convinced her kids that any mushroom found on the ground would kill them if they touched it.
45	He had a wall full of masks so she could wear a different face every day.
46	It must be easy to commit crimes as a snake because you don't have to worry about leaving fingerprints.
50	Mr. Montoya knows the way to the bakery even though he's never been there.
52	As the rental car rolled to a stop on the dark road, her fear increased by the moment.
53	I honestly find her about as intimidating as a basket of kittens.
54	The doll spun around in circles in hopes of coming alive.
57	Seek success, but always be prepared for random cats.
58	She lived on Monkey Jungle Road and that seemed to explain all of her strangeness.
59	They called out her name time and again, but were met with nothing but silence.
61	She always had an interesting perspective on why the world must be flat.
64	After fighting off the alligator, Brian still had to face the anaconda.
65	That must be the tenth time I've been arrested for selling deep-fried cigars.
67	Combines are no longer just for farms.
68	He barked orders at his daughters but they just stared back with amusement.
76	The best part of marriage is animal crackers with peanut butter.
77	The fish dreamed of escaping the fishbowl and into the toilet where he saw his friend go.
80	The ice-cream trucks bring back bad memories for all of us.
81	He ran out of money, so he had to stop playing poker.
82	Toddlers feeding raccoons surprised even the seasoned park ranger.
83	Had he known what was going to happen, he would have never stepped into the shower.
84	While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense.
85	The pigs were insulted that they were named hamburgers.
86	There's a message for you if you look up
93	They desperately needed another drummer since the current one only knew how to play bongos.
94	He learned the hardest lesson of his life and had the scars, both physical and mental, to prove it.
95	The bug was having an excellent day until he hit the windshield.
98	They ran around the corner to find that they had traveled back in time.
99	When he had to picnic on the beach, he purposely put sand in other people’s food.
103	All they could see was the blue water surrounding their sailboat.
110	It was a really good Monday for being a Saturday.
111	I would be delighted if the sea were full of cucumber juice.
112	With the high wind warning
113	The father died during childbirth.
115	Greetings from the galaxy MACS0647-JD, or what we call home.
118	He didn't heed the warning and it had turned out surprisingly well.
119	The efficiency with which he paired the socks in the drawer was quite admirable.
120	Waffles are always better without fire ants and fleas.
125	Mary plays the piano.
127	They were excited to see their first sloth.
129	He loved eating his bananas in hot dog buns.
130	The near-death experience brought new ideas to light.
132	I want to buy a onesie… but know it won’t suit me.
133	The tour bus was packed with teenage girls heading toward their next adventure.
134	The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
