1	Flash photography is best used in full sunlight.
3	I am counting my calories, yet I really want dessert.
5	I love eating toasted cheese and tuna sandwiches.
7	It's not often you find a soggy banana on the street.
9	If my calculator had a history, it would be more embarrassing than my browser history.
11	It took him a while to realize that everything he decided not to change, he was actually choosing.
13	There was no ice cream in the freezer, nor did they have money to go to the store.
15	The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
16	The hand sanitizer was actually clear glue.
17	He was the only member of the club who didn't like plum pudding.
18	His son quipped that power bars were nothing more than adult candy bars.
19	David proudly graduated from high school top of his class at age 97.
20	The balloons floated away along with all my hopes and dreams.
22	The efficiency with which he paired the socks in the drawer was quite admirable.
23	When motorists sped in and out of traffic, all she could think of was those in need of a transplant.
24	The beauty of the African sunset disguised the danger lurking nearby.
26	The urgent care center was flooded with patients after the news of a new deadly virus was made public.
27	I often see the time 11:11 or 12:34 on clocks.
28	Nancy decided to make the porta-potty her home.
31	Plans for this weekend include turning wine into water.
32	She discovered van life is difficult with 2 cats and a dog.
34	He embraced his new life as an eggplant.
36	He had accidentally hacked into his company's server.
37	With a single flip of the coin, his life changed forever.
38	Always bring cinnamon buns on a deep-sea diving expedition.
42	No matter how beautiful the sunset, it saddened her knowing she was one day older.
44	She had convinced her kids that any mushroom found on the ground would kill them if they touched it.
46	He had a wall full of masks so she could wear a different face every day.
47	It must be easy to commit crimes as a snake because you don't have to worry about leaving fingerprints.
51	Mr. Montoya knows the way to the bakery even though he's never been there.
53	As the rental car rolled to a stop on the dark road, her fear increased by the moment.
54	I honestly find her about as intimidating as a basket of kittens.
55	The doll spun around in circles in hopes of coming alive.
58	Seek success, but always be prepared for random cats.
59	She lived on Monkey Jungle Road and that seemed to explain all of her strangeness.
60	They called out her name time and again, but were met with nothing but silence.
62	She always had an interesting perspective on why the world must be flat.
65	After fighting off the alligator, Brian still had to face the anaconda.
66	That must be the tenth time I've been arrested for selling deep-fried cigars.
68	Combines are no longer just for farms.
69	He barked orders at his daughters but they just stared back with amusement.
77	The best part of marriage is animal crackers with peanut butter.
78	The fish dreamed of escaping the fishbowl and into the toilet where he saw his friend go.
81	The ice-cream trucks bring back bad memories for all of us.
82	He ran out of money, so he had to stop playing poker.
83	Toddlers feeding raccoons surprised even the seasoned park ranger.
84	Had he known what was going to happen, he would have never stepped into the shower.
85	While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense.
86	The pigs were insulted that they were named hamburgers.
87	There's a message for you if you look up
94	They desperately needed another drummer since the current one only knew how to play bongos.
95	He learned the hardest lesson of his life and had the scars, both physical and mental, to prove it.
96	The bug was having an excellent day until he hit the windshield.
99	They ran around the corner to find that they had traveled back in time.
