b3aa7efe-4458-4885-ab90-99a435a240ae	T1338908	EK8PK3YR	red		FJR1300A ABS	10
8976e334-e281-4efd-ae84-92171d53434b	T1338908	VHS1K3A	orange	BMW	X3	24
1efa2197-7394-488f-847f-d9b4e64d1bcb	T1338908	OEVB9O	green			2
ffd0f9d5-a6f2-47b8-8cf3-5b5819108be5	T1338908	AFPK054N	brown	SUBARU		5
7f4d908c-e1ff-46c0-8347-f1da5c11ab6d	B3342708	G4UNXU0	gray	FIAT	500	7
aab07015-a342-4e50-9e2a-73240f79a8a7	B3342708	45BA890A	gray	HARLEY DAVIDSON	FXDL DYNA LOW RIDER	8
de3ce88b-e6b9-431a-b61f-6d903ad1fa33	B3342708	4RCER8CL	pink		KX250	6
6147adeb-277b-4667-8499-d0a615007170	B3342708	JYUXGFAT	purple		450 LTD	8
cf2e3296-7184-4713-a55f-65b7e709fba6	B7561853	FVHC3D	blue	SKI-DOO	MX Z 500 TRAIL	13
47eb340d-c74e-48ff-8f89-569de550d736	B7561853	47WOKG	silver	LEXUS		8
07fc584e-a1b2-4627-81d6-7019d97e8d3c	B9755231	ZNC9Q884	blue			7
0ddb545b-61ea-4a65-a1d7-70eac704e80e	B4908240	7CU8JU6	silver			21
d82010d1-f4c8-43a7-9a94-7a40a32e3ab5	T2927524	RVRRGQZ	purple	KAWASAKI	KX250	23
e744aa30-b135-4d67-ad4e-c8a4c4f4b844	T2927524	UQKERDYY	pink	ARCTIC CAT		8
b0736dd1-f443-464c-a269-9a4400d8c046	T2927524	H8WVTZD	black		VMX1200 V-MAX	27
dfcf338c-dec5-4dc3-ad96-8213f0a9b97f	T2927524	JOECJ5B4	green			22
e83ec3a0-1445-487e-aff6-881f77dd362b	T1642361	TJITP71	orange	LAND ROVER		17
acd380ef-b0b7-40ab-b690-72cfac7e5cc6	B8186617	TFIIAMH	gray	AMERICAN IRONHORSE	SLAMMER	6
e7b2df91-adbd-4e33-af6e-92959c8af485	B8186617	OD7B1U9	black		CRAFTER	20
0c0b6cd1-8e8c-41d8-b59d-65ae3c1689c2	B8186617	WQWKL6	gray	POLARIS		10
c4df5b8d-c4eb-4e5d-aa6e-94cff83a1bce	B8186617	P4VS6K	black			22
bdc5a633-ce5b-461f-985d-40112e408d57	T2831435	89Z4IQA6	blue	PETERBILT		4
bdcfc159-e581-41bc-a843-ee9854d144d5	B7756620	G6JBY4CS	blue		SLAMMER	14
eac9b1cc-9ea3-43ea-9b64-6a3368b666d6	B3322889	I2X6UXF0	red			28
d3e763d1-0378-4cb7-b570-b0ac5d4210d5	B4940128	TV74HR7	gray		362	13
b5786277-761c-4a2b-9263-f8e03c5969c6	T0765817	69FG1EY	blue	FREIGHTLINER		5
112a0ef5-7872-420e-a67d-46e72de1bda4	T0765817	TMMG83	pink			19
3768d6aa-fd34-421e-bb59-475ec88a9a74	T0765817	JJK4AU	black	MAZDA	5	1
76628c4e-445d-4a87-8657-3d382138681b	B3897015	UGOOBUOE	green		SMM450F	22
feee7138-6a57-41f7-ae78-cd59909cca67	B3897015	S95PY8	blue		600 IQ LXT	27
6b08984b-a731-46f3-9485-39236223733d	B3897015	0MBOI6F	green	CHEVROLET	W4500 TILTMASTER	13
ae991937-0846-4aa4-bfa4-cfdd01c31adc	B3897015	074YE0Q8	black	POLARIS	600 IQ LXT	19
b354f19d-3d22-4110-a63f-69ea0d5098fc	B1271026	Q21VCR3	black		DORSODURO 750	1
d2fa9b0a-3337-45f9-894b-9f90e21a47b9	B6335357	MHSDM76S	silver	PETERBILT		13
539cbe4f-2d91-4e29-a541-f57452ea13b8	B6335357	CSUC6DI5	black	BUICK		4
a2637d77-c186-4bce-a334-db0652acde30	B6335357	ZB6S5B09	black			18
bf4d493d-bc57-403e-91f9-1586c27f9590	B6335357	NTX3DOQ	silver	SKI-DOO		9
52fc6f48-e7e3-47c4-ad44-1085502426c6	B2398471	MWTMV7	brown			19
ed84acc9-413b-48c4-af22-9e93cfdea771	B2398471	39R60MR	gray	BMW		20
c329732b-5114-4ac7-9588-e38e8dbff478	B2398471	KYN8BK	black	APRILIA	SR50R FACTORY	19
